conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2ba106ed-4b44-45cf-8626-ff9a952b24ce,skill/competence,transversal,understand spoken Telugu,released,understand Telugu speech | make sense of spoken Telugu | understanding spoken Telugu | listen to Telugu | comprehend spoken Telugu | interpret spoken Telugu | understand spoken Telugu,Comprehend orally expressed Telugu.,http://data.europa.eu/esco/skill/64fe09ac-f419-4c04-8997-d1dde2e31bfc,Telugu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2ce713f2-c684-4fa3-8e56-939e4bfbf4a2,skill/competence,transversal,understand spoken French,released,listen to French | understand spoken French | understanding spoken French | interpret spoken French | make sense of spoken French | comprehend spoken French | understand French speech,Comprehend orally expressed French.,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,French
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2eac15c1-fe9a-4b53-9f4e-b74747d665e5,skill/competence,transversal,understand written Malay,released,make sense of written Malay | comprehend written Malay | understand written Malay | interpret written Malay | understanding written Malay | read Malay | understand Malay writing | comprehend written Malaysian,Read and comprehend written texts in Malay.,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,Malay
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2edc3686-dc8b-498d-a174-a1f91917f86d,skill/competence,transversal,understand written Maltese,released,make sense of written Maltese | read Maltese | understanding written Maltese | understand Maltese writing | interpret written Maltese | understand written Maltese | comprehend written Maltese,Read and comprehend written texts in Maltese.,http://data.europa.eu/esco/skill/cb50f9cd-3638-409b-8f93-befaf17d313e,Maltese
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2f566fb0-89f0-4d15-bd20-e00c93adff35,skill/competence,transversal,understand written Georgian,released,read Georgian | understanding written Georgian | understand Georgian writing | comprehend written Georgian | make sense of written Georgian | interpret written Georgian | understand written Georgian,Read and comprehend written texts in Georgian.,http://data.europa.eu/esco/skill/b2c1f90a-72ce-4499-ab9a-a9a5c9355d5b,Georgian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2f7f7a05-88ec-4c8a-937f-381dce6b00fd,skill/competence,transversal,write Korean,released,correspond in written Korean | show competency in written Korean | writing Korean | write Korean,Compose written texts in Korean.,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,Korean
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3048bf6d-27c7-4dc6-ae4b-e55094cec090,skill/competence,transversal,interact verbally in Finnish,released,communicate verbally in Finnish | interacting verbally in Finnish | interact verbally in Finnish | be fluent in Finnish | verbally interact in Finnish | speak Finnish,Communicate orally in Finnish.,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,Finnish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33859d93-987c-4caa-a0a9-6159ea7bbc2a,knowledge,transversal,Arabic,released,competent in Arabic | Arabic | ability to comprehend spoken and written Arabic and to speak and write in Arabic,The Arabic language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/34085657-5d64-4a68-abef-e5b7df3b3d46,skill/competence,transversal,understand written Catalan,released,make sense of written Catalan | understand Catalan writing | understand written Catalan | read Catalan | understanding written Catalan | comprehend written Catalan | read Valencian | interpret written Catalan,Read and comprehend written texts in ​Catalan.,http://data.europa.eu/esco/skill/8ee2b6f2-7017-4b9a-9de2-4dedf0711394,Catalan
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/347d33a8-3698-4549-a7de-722a0216ee40,skill/competence,transversal,understand spoken Dutch,released,understand spoken Dutch | listen to Dutch | understand Dutch speech | make sense of spoken Dutch | comprehend spoken Dutch | listen to Flemish | interpret spoken Dutch | understanding spoken Dutch,Comprehend orally expressed Dutch.,http://data.europa.eu/esco/skill/cad4f44b-28a8-4448-86e5-7389e5ebf3eb,Dutch
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,knowledge,transversal,Ukrainian,released,Ukrainian | ability to comprehend spoken and written Ukrainian and to speak and write in Ukrainian | competent in Ukrainian,The Ukrainian language.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,languages | mastering languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/37992d18-8d7e-4122-ad52-fa5d2d52ebde,skill/competence,transversal,understand written Urdu,released,make sense of written Urdu | comprehend written Urdu | understanding written Urdu | understand written Urdu | interpret written Urdu | read Urdu | understand Urdu writing,Read and comprehend written texts in Urdu.,http://data.europa.eu/esco/skill/bc546a09-1103-4184-b757-3508ef5f8490,Urdu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3993c87c-7719-4186-811b-8ddfb40e76be,skill/competence,transversal,write English,released,show competency in written English | write English | writing English | correspond in written English,Compose written texts in English.,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39a7d447-5a30-41b1-967d-bdcde3288c9e,skill/competence,transversal,write Slovak,released,writing Slovak | show competency in written Slovak | correspond in written Slovak | write Slovak,Compose written texts in Slovak.,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,Slovak
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,knowledge,transversal,Japanese,released,Japanese | ability to comprehend spoken and written Japanese and to speak and write in Japanese | competent in Japanese,The Japanese language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3a0814b1-5851-43f9-b886-1e496fefcf9c,skill/competence,transversal,understand written Finnish,released,comprehend written Finnish | make sense of written Finnish | interpret written Finnish | understand Finnish writing | understanding written Finnish | understand written Finnish,Read and comprehend written texts in Finnish.,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,Finnish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3a660148-e0d6-4b07-b107-10200ebb1b23,skill/competence,transversal,write Azerbaijani,released,writing Azerbaijani | correspond in written Azeri Turkish | correspond in written Azeri | correspond in written Azerbaijani Turkish | correspond in written Azerbaijani | write Azerbaijani | show competency in written Azerbaijani,Compose written texts in Azerbaijani.,http://data.europa.eu/esco/skill/5bfce8e7-6f22-4e67-9018-0e4161620f3a,Azerbaijani
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c98d1d7-52cd-44e7-8083-c02a981e3872,skill/competence,transversal,interact verbally in Georgian,released,speak Georgian | communicate verbally in Georgian | verbally interact in Georgian | be fluent in Georgian | interacting verbally in Georgian | interact verbally in Georgian,Communicate orally in Georgian.,http://data.europa.eu/esco/skill/b2c1f90a-72ce-4499-ab9a-a9a5c9355d5b,Georgian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cb08443-192d-475b-89ce-15901ed1a900,skill/competence,transversal,interact verbally in Slovak,released,interacting verbally in Slovak | speak Slovak | verbally interact in Slovak | be fluent in Slovak | interact verbally in Slovak | communicate verbally in Slovak,Communicate orally in Slovak.,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,Slovak
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cc1fa63-1b28-44df-a93c-d09b12389a2f,skill/competence,transversal,interact verbally in Basque,released,speak Basque | communicate verbally in Basque | interacting verbally in Basque | be fluent in Basque | verbally interact in Basque | interact verbally in Basque,Communicate orally in ​Basque.,http://data.europa.eu/esco/skill/a28fa5f1-be5b-4608-8376-acea8c2f8cb1,Basque
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cccda28-82cc-4e47-9442-af0cb4d64016,skill/competence,transversal,write Serbian,released,show competency in written Serbian | writing Serbian | write Serbian | correspond in written Serbian,Compose written texts in Serbian.,http://data.europa.eu/esco/skill/c5cb0cc1-c40b-4544-a21c-8472f0b5c14a,Serbian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40842478-ad09-4be9-a889-97299b013609,skill/competence,transversal,write Hebrew,released,show competency in written Hebrew | write Hebrew | writing Hebrew | correspond in written Hebrew,Compose written texts in Hebrew.,http://data.europa.eu/esco/skill/8a45f04a-cd28-4ac1-8e8b-ecfd21be0b18,Hebrew
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/41253322-dc32-4d79-941c-3a8c230a1d85,skill/competence,transversal,write Berber,released,correspond in written Berber | write Berber | correspond in written Tamazight | show competency in written Berber | writing Berber,Compose written texts in Berber.,http://data.europa.eu/esco/skill/6f34bd05-1297-4913-92ff-85a604242b2f,Berber
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/416ca9da-3a58-4522-89a2-5746576feddd,skill/competence,transversal,write Vietnamese,released,correspond in written Vietnamese | show competency in written Vietnamese | writing Vietnamese | write Vietnamese,Compose written texts in Vietnamese.,http://data.europa.eu/esco/skill/bf60009d-8afb-4306-9b0d-cfe2f66ab08f,Vietnamese
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/421910b5-70e1-429e-8b32-0df5518b7ddd,skill/competence,transversal,understand written Czech,released,comprehend written Czech | understanding written Czech | understand Czech writing | interpret written Czech | read Czech | understand written Czech | make sense of written Czech,Read and comprehend written texts in Czech.,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,Czech
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4264f3aa-037e-44f4-bb08-90d2337953ee,skill/competence,transversal,write Portuguese,released,writing Portuguese | correspond in written Portuguese | show competency in written Portuguese | write Portuguese,Compose written texts in Portuguese.,http://data.europa.eu/esco/skill/584c13e8-fd06-4ca3-a45b-cca5b2f147a7,Portuguese
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42b7c03a-3ed5-4dc1-adc0-ff1fb8d4d697,skill/competence,transversal,write Danish,released,correspond in written Danish | write Danish | writing Danish | show competency in written Danish,Compose written texts in Danish.,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1,Danish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/450e047f-bb60-4eaa-bbcf-5e7af43e7f2a,skill/competence,transversal,write Bulgarian,released,show competency in written Bulgarian | writing Bulgarian | correspond in written Bulgarian | write Bulgarian,Compose written texts in Bulgarian.,http://data.europa.eu/esco/skill/d5fd4958-4ca6-4d06-845f-713e2c459612,Bulgarian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/45289df8-d02d-4f08-9802-2c7deae944ad,knowledge,transversal,Sanskrit,released,"sanskrit language | sanskrit alphabet, pronunciation and language | Sanskrit",The Sanskrit language.,http://data.europa.eu/esco/skill/1d0de98f-c5a6-4607-aea9-d432794f144b | http://data.europa.eu/esco/skill/e434e71a-f068-44ed-8059-d1af9eb592d7 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,classical languages | mastering languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/45ab3524-935d-4bc0-a7f3-1cf3be7e5987,skill/competence,transversal,write Georgian,released,correspond in written Georgian | writing Georgian | show competency in written Georgian | write Georgian,Compose written texts in Georgian.,http://data.europa.eu/esco/skill/b2c1f90a-72ce-4499-ab9a-a9a5c9355d5b,Georgian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/46d20520-381c-40c9-9de5-f635d0755923,skill/competence,transversal,understand written Bulgarian,released,read Bulgarian | interpret written Bulgarian | make sense of written Bulgarian | comprehend written Bulgarian | understand written Bulgarian | understanding written Bulgarian | understand Bulgarian writing,Read and comprehend written texts in Bulgarian.,http://data.europa.eu/esco/skill/d5fd4958-4ca6-4d06-845f-713e2c459612,Bulgarian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,knowledge,transversal,German,released,German | ability to comprehend spoken and written German and to speak and write in German | competent in German,The German language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/486e4f39-e968-41f4-955e-56e9eba96ef5,skill/competence,transversal,understand written German,released,comprehend written German | understand German writing | interpret written German | understanding written German | understand written German | make sense of written German | read German,Read and comprehend written texts in German.,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,German
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/49edb5ac-b80c-4c02-8509-d0e05889031e,skill/competence,transversal,understand spoken Kurdish,released,comprehend spoken Kurdish | listen to Kurdish | make sense of spoken Kurdish | understand Kurdish speech | interpret spoken Kurdish | understand spoken Kurdish | understanding spoken Kurdish,Comprehend orally expressed ​Kurdish.,http://data.europa.eu/esco/skill/2874065e-6ca3-430c-912a-467da3c23704,Kurdish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4aaa3e87-2b29-4a83-bdff-cbe51db03fc5,skill/competence,transversal,write Montenegrin,released,write Montenegrin | show competency in written Montenegrin | correspond in written Montenegrin | writing Montenegrin,Compose written texts in Montenegrin.,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,Montenegrin
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4b873879-6d5e-46b6-80e2-1ef313b4e0ac,skill/competence,transversal,write Japanese,released,write Japanese | writing Japanese | correspond in written Japanese | show competency in written Japanese,Compose written texts in Japanese.,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,Japanese
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4b9f1ae5-0ee6-4738-8999-9b8191fba808,knowledge,transversal,Romanian,released,ability to comprehend spoken and written Romanian and to speak and write in Romanian | Romanian | competent in Romanian,The Romanian language. Romanian is an official and working language of the EU.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,languages | mastering languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c5a2793-c18d-40b9-832d-af8e07f0f171,skill/competence,transversal,write Icelandic,released,show competency in written Icelandic | writing Icelandic | correspond in written Icelandic | write Icelandic,Compose written texts in Icelandic.,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,Icelandic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c6fe11c-f912-4c81-b74c-2e72943abeb6,skill/competence,transversal,understand written Lithuanian,released,interpret written Lithuanian | read Lithuanian | comprehend written Lithuanian | understand Lithuanian writing | make sense of written Lithuanian | understanding written Lithuanian | understand written Lithuanian,Read and comprehend written texts in Lithuanian.,http://data.europa.eu/esco/skill/b3950b87-a980-4cd4-a795-be8a9b63661d,Lithuanian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c92020a-110b-4daf-b1ec-c4e17c3b9b2c,skill/competence,transversal,understand spoken Chinese,released,understand Chinese speech | understand spoken Chinese | comprehend spoken Chinese | interpret spoken Chinese | make sense of spoken Chinese | comprehend spoken Cantonese | listen to Mandarin | comprehend spoken Standard Chinese | understand spoken Mandarin | understanding spoken Chinese | listen to Chinese,Comprehend orally expressed Chinese.,http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,Chinese
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4ddf697a-b1e9-4ae6-931e-920de761f9df,skill/competence,transversal,interact verbally in Walloon,released,interacting verbally in Walloon | interact verbally in Walloon | be fluent in Walloon | verbally interact in Walloon | communicate verbally in Walloon | speak Walloon,Communicate orally in ​Walloon.,http://data.europa.eu/esco/skill/d54d7c00-87c4-4f78-af8d-e84577372974,Walloon
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4dfda994-f9a2-4cbd-b224-0ab036e69d6e,skill/competence,transversal,interact verbally in Romanian,released,interact verbally in Romanian | interacting verbally in Romanian | be fluent in Romanian | verbally interact in Romanian | speak Moldavian | speak Romanian | communicate verbally in Romanian | interact verbally in Moldavian | speak Moldovan,Communicate orally in Romanian.,http://data.europa.eu/esco/skill/4b9f1ae5-0ee6-4738-8999-9b8191fba808,Romanian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4ff6df71-6988-4300-8966-9fabb2b59186,skill/competence,transversal,understand written French,released,understand French writing | make sense of written French | read French | understand written French | interpret written French | comprehend written French | understanding written French,Read and comprehend written texts in French.,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,French
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/50d8a1ff-659a-4671-be48-369242b2a3be,skill/competence,transversal,write Bihari,released,correspond in written Bihari | write Bihari | show competency in written Bihari | writing Bihari,Compose written texts in Bihari.,http://data.europa.eu/esco/skill/15ea7b6b-1b93-4ed8-b58a-5c54777e0832,Bihari
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/520b5278-eb9a-4c7d-a80d-a129ffb103da,skill/competence,transversal,interact verbally in Hungarian,released,interacting verbally in Hungarian | communicate verbally in Hungarian | speak Hungarian | be fluent in Hungarian | verbally interact in Hungarian | interact verbally in Hungarian,Communicate orally in Hungarian.,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,Hungarian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/52894650-9077-40f0-96d6-6f07d1a6cafa,skill/competence,transversal,write German,released,writing German | correspond in written German | show competency in written German | write German,Compose written texts in German.,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,German
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/529d9a4f-5b96-4952-b9e6-114213366565,skill/competence,transversal,understand spoken Georgian,released,understand spoken Georgian | understanding spoken Georgian | comprehend spoken Georgian | understand Georgian speech | interpret spoken Georgian | make sense of spoken Georgian | listen to Georgian,Comprehend orally expressed Georgian.,http://data.europa.eu/esco/skill/b2c1f90a-72ce-4499-ab9a-a9a5c9355d5b,Georgian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/562c4f04-4f58-4c28-bcc4-49307786067b,skill/competence,transversal,interact verbally in Danish,released,speak Danish | communicate verbally in Danish | verbally interact in Danish | interacting verbally in Danish | be fluent in Danish | interact verbally in Danish,Communicate orally in Danish.,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1,Danish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/57cc6587-7efe-4ba5-982f-ac15ce1617ac,knowledge,transversal,Occitan,released,Languedoc | competent in Occitan | Occitan | Provençal | ability to comprehend spoken and written Occitan and to speak and write in Occitan,The ​Occitan language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/584c13e8-fd06-4ca3-a45b-cca5b2f147a7,knowledge,transversal,Portuguese,released,Portuguese,The Portuguese language. Portuguese is an official and working language of the EU.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,languages | mastering languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/585824c4-ef01-49fd-9b14-be00162a2387,skill/competence,transversal,understand written Persian,released,understand Persian writing | understanding written Persian | understand written Farsi | interpret written Persian | comprehend written Farsi | make sense of written Persian | understand written Persian | comprehend written Persian,Read and comprehend written texts in Persian.,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,Persian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5885fe45-0fd8-4eea-ac55-f46d46a44e6c,skill/competence,transversal,interact verbally in Albanian,released,be fluent in Albanian | verbally interact in Albanian | interact verbally in Albanian | interacting verbally in Albanian | communicate verbally in Albanian | speak Albanian,Communicate orally in ​Albanian.,http://data.europa.eu/esco/skill/f1a08ec9-32d2-4e52-ba4a-66e049019be8,Albanian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,knowledge,transversal,Persian,released,competent in Persian | ability to comprehend spoken and written Persian and to speak and write in Persian | Farsi | Persian,The Persian language.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,languages | mastering languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/59ac89d7-12bb-470d-818b-222963d1c357,skill/competence,transversal,interact verbally in Gujarati,released,speak Gujarati | be fluent in Gujarati | interacting verbally in Gujarati | communicate verbally in Gujarati | interact verbally in Gujarati | verbally interact in Gujarati,Communicate orally in Gujarati.,http://data.europa.eu/esco/skill/9b0baaa7-fed3-41b7-b74e-9d459f11acfe,Gujarati
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5a6ac2a6-6aa3-4b68-b2ef-b2491fb146c1,skill/competence,transversal,write Welsh,released,writing Welsh | write Welsh | correspond in written Welsh | show competency in written Welsh,Compose written texts in Welsh.,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,Welsh
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5b9694a6-58b0-4179-a1bd-4bcda0352ca1,skill/competence,transversal,write Macedonian,released,correspond in written Macedonian | writing Macedonian | show competency in written Macedonian | write Macedonian,Compose written texts in Macedonian.,http://data.europa.eu/esco/skill/15f261e6-4379-437e-b137-b0c473ae3e74,Macedonian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5bfce8e7-6f22-4e67-9018-0e4161620f3a,knowledge,transversal,Azerbaijani,released,Azeri | competent in Azerbaijani | Azeri Turkish | ability to comprehend spoken and written Azerbaijani and to speak and write in Azerbaijani | Azerbaijani Turkish | Azerbaijani,The Azerbaijani language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5de39924-769c-4301-82a5-525358dffe50,knowledge,transversal,Latvian,released,Latvian | ability to comprehend spoken and written Latvian and to speak and write in Latvian | competent in Latvian,The Latvian language. Latvian is an official and working language of the EU.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5dfc81aa-c395-4e88-a0e0-a2fbb681ecc0,skill/competence,transversal,write French,released,show competency in written French | writing French | correspond in written French | write French,Compose written texts in French.,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,French
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5ec5c4f7-1b6d-4642-8470-567e666952a8,skill/competence,transversal,write Galician,released,correspond in written Galician | write Galician | writing Galician | show competency in written Galician,Compose written texts in ​Galician.,http://data.europa.eu/esco/skill/66212ff2-34b9-4812-be58-f53a0b751863,Galician
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5f1e9642-588c-4882-8c90-20c33cc78bc1,skill/competence,transversal,understand spoken Italian,released,make sense of spoken Italian | understanding spoken Italian | understand Italian speech | comprehend spoken Italian | interpret spoken Italian | understand spoken Italian | listen to Italian,Comprehend orally expressed Italian.,http://data.europa.eu/esco/skill/87219dfe-a21c-4160-8cc8-1eabf9b16b44,Italian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5f81f163-7c84-4254-962f-69257cfa9ef5,skill/competence,transversal,understand written Gujarati,released,comprehend written Gujarati | understand written Gujarati | understand Gujarati writing | make sense of written Gujarati | interpret written Gujarati | read Gujarati | understanding written Gujarati,Read and comprehend written texts in Gujarati.,http://data.europa.eu/esco/skill/9b0baaa7-fed3-41b7-b74e-9d459f11acfe,Gujarati
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd4e27b-49de-4609-ae44-91e47ee3d168,skill/competence,transversal,write Telugu,released,writing Telugu | correspond in written Telugu | write Telugu | show competency in written Telugu,Compose written texts in Telugu.,http://data.europa.eu/esco/skill/64fe09ac-f419-4c04-8997-d1dde2e31bfc,Telugu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/60bb7483-e0a1-4016-a6f3-6b95261ab615,skill/competence,transversal,understand spoken Azerbaijani,released,comprehend spoken Azerbaijani Turkish | comprehend spoken Azeri Turkish | make sense of spoken Azerbaijani | comprehend spoken Azerbaijani | understand Azerbaijani speech | comprehend spoken Azeri | understand spoken Azerbaijani | interpret spoken Azerbaijani | listen to Azerbaijani | understanding spoken Azerbaijani,Comprehend orally expressed Azerbaijani.,http://data.europa.eu/esco/skill/5bfce8e7-6f22-4e67-9018-0e4161620f3a,Azerbaijani
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/614dcf69-dc56-4cab-bcb1-5bed1b389516,skill/competence,transversal,understand spoken Armenian,released,comprehend spoken Armenian | make sense of spoken Armenian | understand Armenian speech | listen to Armenian | interpret spoken Armenian | understanding spoken Armenian | understand spoken Armenian,Comprehend orally expressed Armenian.,http://data.europa.eu/esco/skill/fcbcdf4c-d079-4010-ab4b-8356fbfa5096,Armenian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/61809be5-6787-46f0-9583-ac3287e17bd6,skill/competence,transversal,interact verbally in Marathi,released,interacting verbally in Marathi | verbally interact in Marathi | speak Marathi | be fluent in Marathi | communicate verbally in Marathi | interact verbally in Marathi,Communicate orally  in Marathi.,http://data.europa.eu/esco/skill/2080075c-0488-4fbf-a786-734dbbef31ce,Marathi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/61c14f06-9edf-44c3-96af-dcecda598853,skill/competence,transversal,write Latvian,released,correspond in written Latvian | writing Latvian | show competency in written Latvian | write Latvian,Compose written texts in Latvian.,http://data.europa.eu/esco/skill/5de39924-769c-4301-82a5-525358dffe50,Latvian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/61ea50d7-db19-4160-8da4-1d7bec68bec3,skill/competence,transversal,write Slovenian,released,write Slovenian | correspond in written Slovenian | show competency in written Slovenian | writing Slovenian | write Slovene,Compose written texts in Slovenian.,http://data.europa.eu/esco/skill/9ace3aae-aeae-4ed6-b625-26bc58345554,Slovenian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/633b72c4-1da1-45ae-b989-4d1a5bcab1a7,skill/competence,transversal,understand spoken Catalan,released,listen to Catalan | understanding spoken Catalan | understand spoken Catalan | understand spoken Valencian | listen to Valencian | comprehend spoken Catalan | understand Catalan speech | interpret spoken Catalan | make sense of spoken Catalan,Comprehend orally expressed ​Catalan.,http://data.europa.eu/esco/skill/8ee2b6f2-7017-4b9a-9de2-4dedf0711394,Catalan
